spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
20,0,3056,0,0,0,3056,0,0,0
19,1,5.13485e+009,0,0,0,1796,0,0,0
18,2,1.43099e+009,0,0,0,421,0,0,0
17,3,4.13862e+009,0,0,0,1569,0,0,0
16,4,1.6178e+008,0,0,0,817,0,0,0
15,5,6.63579e+009,0,0,0,1932,0,0,0
14,6,9.67e+006,0,0,0,26,0,0,0
13,7,1.11575e+010,0,0,0,3779,0,0,0
12,8,3.60112e+009,0,0,0,2514,0,0,0
11,9,7.16908e+009,0,0,0,3089,0,0,0
10,10,6.74797e+009,0,0,0,1799,0,0,0
9,11,3.58566e+009,0,0,0,1331,0,0,0
8,12,2.90327e+009,0,0,0,1466,0,0,0
7,13,4.5483e+008,0,0,0,425,0,0,0
6,14,3.1102e+008,0,0,0,592,0,0,0
5,15,4.0251e+008,0,0,0,1156,0,0,0
4,16,2.80805e+009,0,0,0,1936,0,0,0
3,17,1.5226e+008,0,0,0,461,0,0,0
2,18,4.8344e+008,0,0,0,1577,0,0,0
1,19,7.1744e+008,0,0,0,1223,0,0,0
